epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4136,0.92861,4.21425,1.30339,0.03033,0.22547,0.0396,0.03094,0.68464,3.70323,1.17653,0.00010921,0.00010921,0.00010921
2,34.1673,0.81264,3.88124,1.21501,0.03068,0.81351,0.11896,0.09561,0.74873,3.20059,1.22129,0.000212943,0.000212943,0.000212943
3,48.3882,0.82632,3.46045,1.21445,0.32381,0.3589,0.24585,0.18499,0.85645,2.44976,1.26719,0.00030935,0.00030935,0.00030935
4,67.7279,0.88506,2.99091,1.24035,0.56647,0.35483,0.33578,0.26986,0.84561,2.10595,1.26718,0.000300033,0.000300033,0.000300033
5,82.9662,0.8376,2.57137,1.21048,0.71181,0.46399,0.50015,0.40516,0.75995,1.60684,1.20973,0.000289044,0.000289044,0.000289044
6,98.0369,0.80234,2.26069,1.17516,0.62952,0.46855,0.50602,0.4091,0.77883,1.71652,1.24821,0.000278055,0.000278055,0.000278055
7,112.343,0.7888,1.95962,1.16303,0.76033,0.49984,0.60424,0.47734,0.82045,1.42572,1.23038,0.000267066,0.000267066,0.000267066
8,129.804,0.77953,1.83246,1.16616,0.7843,0.62488,0.70281,0.59093,0.66629,1.12821,1.12993,0.000256077,0.000256077,0.000256077
9,144.244,0.73091,1.64029,1.12815,0.83384,0.64078,0.72048,0.5948,0.68933,1.03704,1.12411,0.000245088,0.000245088,0.000245088
10,158.574,0.72374,1.51402,1.12162,0.90513,0.70351,0.85346,0.72863,0.64646,0.83441,1.10148,0.000234099,0.000234099,0.000234099
11,175.938,0.71293,1.43715,1.11132,0.86794,0.72018,0.83118,0.69702,0.66541,0.88328,1.12467,0.00022311,0.00022311,0.00022311
12,190.131,0.69508,1.3365,1.10525,0.88126,0.80875,0.83643,0.70185,0.6138,0.74314,1.07234,0.000212121,0.000212121,0.000212121
13,207.533,0.67947,1.26591,1.08158,0.92463,0.79923,0.88005,0.74657,0.61609,0.66651,1.06965,0.000201132,0.000201132,0.000201132
14,222.247,0.68396,1.24269,1.08652,0.92694,0.77112,0.88132,0.74128,0.63519,0.6975,1.08523,0.000190143,0.000190143,0.000190143
15,239.692,0.65553,1.18015,1.07562,0.93249,0.79175,0.90791,0.79239,0.5894,0.64862,1.05148,0.000179154,0.000179154,0.000179154
16,254.261,0.64969,1.12956,1.06302,0.93345,0.81518,0.87611,0.75352,0.59711,0.62277,1.05329,0.000168165,0.000168165,0.000168165
17,271.708,0.63221,1.11666,1.06152,0.85659,0.83364,0.87466,0.74249,0.60198,0.62365,1.05306,0.000157176,0.000157176,0.000157176
18,286.173,0.62068,1.07724,1.05158,0.9419,0.80934,0.91273,0.77839,0.59938,0.6054,1.05004,0.000146187,0.000146187,0.000146187
19,300.596,0.64406,1.08296,1.07009,0.90803,0.83759,0.91689,0.79928,0.58656,0.59945,1.04602,0.000135198,0.000135198,0.000135198
20,318.016,0.60512,1.02537,1.0482,0.89992,0.85211,0.91671,0.79851,0.58653,0.57801,1.05241,0.000124209,0.000124209,0.000124209
21,334.242,0.54948,1.18759,1.04312,0.94009,0.85789,0.92784,0.80478,0.59301,0.57618,1.05548,0.00011322,0.00011322,0.00011322
22,351.92,0.51731,1.08853,1.01807,0.95874,0.83877,0.92965,0.80746,0.58267,0.55684,1.04171,0.000102231,0.000102231,0.000102231
23,366.574,0.51108,1.00518,1.00875,0.94474,0.86602,0.92913,0.80163,0.59077,0.55575,1.04549,9.1242e-05,9.1242e-05,9.1242e-05
24,384.088,0.49004,0.97205,1.00692,0.94051,0.85314,0.93291,0.81588,0.5716,0.51653,1.0299,8.0253e-05,8.0253e-05,8.0253e-05
25,398.752,0.47885,0.94122,0.99519,0.95887,0.84524,0.94533,0.8269,0.56062,0.51789,1.01295,6.9264e-05,6.9264e-05,6.9264e-05
26,416.45,0.46958,0.92611,0.97739,0.96731,0.87282,0.96628,0.83593,0.55989,0.48551,1.02304,5.8275e-05,5.8275e-05,5.8275e-05
27,430.776,0.46098,0.90904,1.00054,0.95605,0.87465,0.96961,0.84865,0.55694,0.47995,1.01784,4.7286e-05,4.7286e-05,4.7286e-05
28,445.175,0.44298,0.89502,0.97489,0.90926,0.92277,0.9684,0.84232,0.55975,0.47275,1.0245,3.6297e-05,3.6297e-05,3.6297e-05
29,462.628,0.4458,0.89547,0.98367,0.91012,0.92358,0.94648,0.82722,0.55685,0.47719,1.01524,2.5308e-05,2.5308e-05,2.5308e-05
30,476.67,0.42425,0.86126,0.96618,0.90519,0.92457,0.94656,0.83064,0.55166,0.47139,1.01047,1.4319e-05,1.4319e-05,1.4319e-05
